KEY,English,Turkish,German,Spanish,Italian,Portuguese,French,Hungarian,Polish,Russian,Malay,Czech,Thai,Chinese,Korean,Japanese,Arabic,Indonesian,Romanian,Vietnamese
END_235_2,Maybe we can erase gravity with this crazy invention!?,Bu çılgın icatla belki de yerçekimini silebiliriz!?,Kann man damit vielleicht auch die Schwerkraft wegradieren?,¡Quizá hasta podamos borrar la gravedad!,Forse questa folle invenzione potrà cancellare la forza di gravità!,Talvez a gente possa apagar a gravidade com essa invenção maluca?!,Et si j’essayais d’effacer la gravité ?,Ezzel a felfedezéssel talán a gravitációt is kiradírozhatnánk?!,Może uda mi się wreszcie wymazać grawitację...?,"Может, получится даже стереть гравитацию, используя это безумное изобретение?!",Mungkin kita boleh padamkan graviti dengan ciptaan gila ini!?,Možná bychom tímhle vynálezem mohli vygumovat gravitaci!,เราอาจลบแรงโน้มถ่วง ด้วยสิ่งประดิษฐ์สุดเพี้ยน นี้ก็ได้นะ?,也許可以用這個瘋狂的發明消除重力！？,어쩌면 미친 발명품이 중력을 없앨지도!?,この驚きの発明で重力も消せるかも！？,ربما يمكننا محو الجاذبية بهذا الاختراع المجنون!؟,Kalau dipakai menghapus gravitasi seru kali ya?,Oare aș putea să șterg și gravitația cu această invenție ciudată?,Có lẽ chúng ta có thể xóa bỏ trọng lực với phát minh điên rồ này chăng?
END_236_1,We need a fourth one to cover its nose.,Burnunu kapatacak dördüncü bir tanesine ihtiyacımız var.,Ein vierter Affe könnte sich die Nase zuhalten!,Necesitamos otro más para que se cubra la nariz.,Ce ne serve un'altra che si tappi il naso.,Precisamos de um quarto macaco para tapar o nariz!,Il faut un quatrième singe pour qu'il se bouche le nez !,"Kéne egy negyedik majom is, akinek befogjuk az orrát!",Przydałaby się jeszcze jedna z zatkanym nosem.,"Нам нужна четвертая обезьяна, чтобы закрыть нос.",Kita perlu monyet keempat supaya tutup hidung.,"Teď potřebujeme čtvrtou, aby si zacpala nos.",เสียดายไม่มีปิดจมูก ไม่งั้นจะร้องเพลง รักคุณยิ่งกว่าใคร,我們需要第四個來蓋住它的鼻子。,코를 막으려면  네 번째 원숭이가 필요합니다.,鼻を覆う4番目のサルが必要です。,نحن بحاجة إلى واحد رابع لتغطية أنفه.,Kita butuh monyet keempat untuk gestur menutup hidung.,"Ne trebuie și o a patra maimuță, ca să-i acoperim nasul.",Chúng ta cần một con khỉ thứ tư làm động tác che mũi.
END_237_1,"Your head lives up to your name, the Rockhead.","Başın adına yakışıyor, Taşkafa.","Dein Kopf wird wirklich seinem Namen gerecht, Steinschädel.","Tu cabeza no servirá para pensar, pero sí para romper cosas.",Testadiroccia di nome e di fatto!,"Não estão de brincadeira quando te chamam de cabeça-dura, hein, Róque?!",Tu as vraiment la tête dure !,"Látom, sikerült végre használnod a fejed.",Faktycznie masz twardy łeb... na karku.,"Твоя голова соответствует твоему имени, Скалоголовый.",Memang patutlah nama dia Kepala Batu.,"Tvoje hlava dostává tvému jménu, Skálo.",จาพนมเป็นคนดื้อ เพราะเขาหัวแข็งมาก!,你的頭真的名副其實，石頭人。,돌머리 이름에 걸맞는 머리로군요.,ロックヘッドの名にふさわしい頭だ。,رأسك يرقى إلى مستوى اسمك، يا رأس الحجر.,"Keras kepalamu ternyata sesuai namamu, Sipalabatu.",Se vede că ai cap de moroșan.,"Đúng là danh xứng với thực, Đầu Đá ạ."
END_238_1,"If blue is written in red color, is it still blue?","Eğer mavi kırmızı renkte yazılmışsa, hala mavi midir?","Wenn """"blau"""" in roter Farbe geschrieben wird, ist es dann immer noch blau?","Si """"azul"""" está escrito en rojo, ¿se vuelve verde?","Se blu è scritto in rosso, è ancora blu?","Se azul está escrito em vermelho, ainda é azul?","Si « bleu » est écrit en rouge, est-ce que c’est toujours du bleu ?","Ha a """"kék"""" pirossal van írva, attól az még kék?","Jeśli „niebieski” jest napisany na czerwono, to czy nadal jest niebieski...?","Если «синий» написан красным, он остается быть синим?","Jika biru ditulis dalam warna merah, adakah ia masih warna biru?","Jestli je modrá napsaná červeně, je to pořád modrá?",ถ้าสีน้ำเงินถูกเขียนอยู่ในสีแดง มันยังเป็นสีน้ำเงินอยู่รึเปล่า?,如果藍色寫成紅色，它還是藍色嗎？,파란색을 빨간색으로 써도 파란색인가요?,もし「青」と赤い色で書かれている場合、青とみなしますか？,إذا كان الأزرق مكتوبًا باللون الأحمر، فهل يظل أزرقًا؟,"Kalau biru ditulis dengan warna merah, apa ia masih disebut biru?","Dacă albastru e scris cu roșu, e tot albastru?","Nếu chữ xanh dương được viết bằng màu đỏ, vậy thì đó có phải màu xanh dương hay không?"
END_239_1,Don't ask me where that elephant did come from!,Nereden geldiğini bana sorma bu filin!,"Frag mich nicht, wo der Elefant hergekommen ist!",¡No me preguntes de dónde salió el elefante!,Non chiedermi da dove salti fuori l'elefante!,Nem pergunte de onde veio aquele elefante!,Qui sait d’où vient cet éléphant ?,Ez az elefánt meg honnan került ide?!,"Nie mam pojęcia, skąd tu się wziął ten słoń!","Даже не спрашивай, откуда взялся тот слон!","Kebetulan pula ada gajah, boleh minta tolong!","Neptej se mě, odkud se ten slon vzal!",ไม่ต้องถามนะว่า ช้างนั่นมาจากไหน!,別問我那頭大像是從哪裡來的！,코끼리가 어디서 나왔는지 묻지 마세요!,あのゾウがどこから来たのかは聞かないで！,لا تسألني من أين أتى ذلك الفيل!,Jangan tanya aku gajah itu dari mana!,Nu mă întreba ce caută elefantul aici!,Đừng hỏi tôi con voi đó đến từ đâu!
END_24_1,You can stop worrying about your hair now. There are 100s of more things to worry after all.,İşte ben buna çim adam derim! :)),Ich verschreibe dir Dünger und viel Sonnenlicht.,¡Este peinado dejará a todos boquiabiertos! Pero no dejes que se te acerquen las vacas.,"Ora puoi smettere di preoccuparti dei tuoi capelli. In fondo, ci sono mille altre cose di cui preoccuparsi.","De todas as suas 100 preocupações atuais, ser calvo aos 20 não é mais uma delas.",Arrêtez de penser à ses cheveux. Il y a plus grave dans le monde.,"A hajad miatt már nem kell aggódnod. Még így is maradt több száz dolog az életedben, amik miatt szoronghatsz.",Problem włosów masz już z głowy. Zostało tylko globalne ocieplenie i inflacja.,"Теперь можешь перестать тревожиться о своих волосах. В конце концов, есть еще сотни поводов для беспокойства.",Lepas ni dah tak perlu risau pasal rambut. Banyak lagi menda lain nak kena fikir.,O své vlasy se už nemusíš bát. Koneckonců na světě jsou stovky jiných starostí.,เลิกคิดมากเรื่องผมได้แล้ว เพราะหลังจากนี้ยังมีอีก หลายร้อยด่านให้คิด,世上這麼多種煩惱， 至少現在你不用擔心這三千煩惱絲。,이제 머리숱 걱정은 그만. 수백개의 다른 걱정들이 더 있습니다.,髪のことを心配するのはやめましょう。なにしろ心配することは他に山ほどあるのですから。,يمكنك التوقف عن القلق بشأن شعرك الآن. هناك مئات من الأشياء التي تدعو للقلق غيره.,Sekarang tidak usah khawatir lagi soal rambut. Masih ada ratusan masalah lain untuk dikhawatirkan.,Ai scăpat de problema părului. Ți-au mai rămas alte câteva sute de probleme.,Giờ thì bạn có thể ngừng lo về mái tóc của mình được rồi. Còn hàng trăm thứ khác phải lo nữa chứ ít gì.
END_240_1,I will live in here during the summer.,Ben yaz boyunca burada yaşayacağım.,Ich bleibe jetzt einfach den ganzen Sommer über hier.,Viviré aquí durante el verano.,Mi trasferirò lì dentro per l'estate.,Vou morar aqui no verão.,Je vais m’installer là-dedans pour l’été.,"A nyarat biztos, hogy itt vészelem át!",Chyba będę mieszkał tu przez całe lato.,"Пожалуй, я поживу здесь летом.","Bila musim panas, aku nak duduk sini lah.",Tady budu během léta bydlet.,ฉันจะอยู่ในนี้ ตลอดหน้าร้อนเลย,"夏天,我會住在這裡。",여름 내내 여기 살래.,夏の間、ボクはここに住むよ。,سأعيش هنا خلال فصل الصيف.,Aku tinggal di sini saja selama musim panas.,Aici voi locui pe perioada verii.,Mình sẽ ở trong chỗ này đến hết mùa hè luôn.
END_241_1,Where is the rest of the moon?!,Ayın geri kalanı nerede?!,Wo ist denn der Rest des Mondes?!,¡¿Y la otra mitad de la luna dónde quedó?!,Dov'è il resto della luna?!,Cadê o resto da lua?!,Où est passée l’autre partie de la lune ?,Miért ilyen csonka a Hold?!,Gdzie się podziała reszta księżyca?!,А где остальная часть луны?!,Senyuman yang ceria seindah purnama!,Kde je zbytek toho měsíce?!,แล้วส่วนที่เหลือ ของพระจันทร์ละ?!,月亮的其餘部分在哪裡？,나머지 달은 어디에 있죠?!,のこりの月はどこへ？！,أين بقية القمر؟!,"Lho, sisa bulannya mana?!",Unde e restul de lună?,Thế phần còn lại của mặt trăng ở đâu vậy?!
END_242_1,Wear the other skate too! We are not living in a romantic comedy!,Diğer pateni de tak! Romantik bir komedide yaşamıyoruz!,Zieh auch den anderen Schlittschuh an! Das soll hier doch keine romantische Komödie werden!,¡Ponte el otro patín! ¡Esto no es una comedia romántica!,Indossa anche l'altro pattino! Non siamo in un film romantico!,Calce o outro patim também! Não estamos vivendo uma comédiia romântica!,Mets ton autre patin ! On n’est pas dans une comédie romantique !,Vedd már fel a másik korit is! Nem egy olcsó romantikus filmben vagyunk!,Załóż drugą łyżwę! To nie komedia romantyczna!,Надень второй ботинок тоже! Мы не в романтической комедии!,Lain kali pakai dua-dua kasut luncur! Ingat ni kisah cinta kelakar ke?!,Nasaď si i tu druhou! Tady nejsme v žádné romantické komedii!,ใส่รองเท้าสเก็ตอีกข้างด้วย!  เราไม่ได้กำลังอยู่ในหนัง โรแมนติกคอมเมดี้นะ!,也穿上另一隻溜冰鞋吧！我們不是生活在浪漫喜劇中！,두 쪽 다 신어! 로맨틱 코미디 영화가 아니야!,もう片方のスケート靴もはきましょう！これはロマンチックコメディではないのだから！,ارتدي الزلاجة الأخرى أيضًا! نحن لا نعيش في كوميديا رومانسية!,Pakai dua-duanya! Ini bukan FTV!,Pune-ți și cea de-a doua patină! Nu suntem într-o comedie romantică!,Phải đi đủ hai chiếc giày chứ! Chúng ta đâu có sống trong một bộ phim lãng mạn!
END_242_2,Maybe we are!,Belki yaşıyoruz!,Vielleicht doch!,¡Para mí sí!,O forse sì?,Talvez a gente esteja!,Et pourquoi pas ?,Pedig én teljesen azt érzem!,A może jednak...?,"Может, все-таки в ней?",Aku akan tetap berusaha memikat mu!,A co když jsme?,เราอยู่ต่างหาก!,也許我們是！,우리는 그래!,もしかしたらそうかも！,ربما نحن كذلك!,Apa iya?,Poate că suntem!,Có thể lắm chứ!
END_243_1,He stopped eating fish after watching Finding Nemo.,Kayıp Balık Nemo'yu izledikten sonra balık yemeyi bıraktı.,"Er isst keinen Fisch mehr, seit er """"Findet Nemo"""" gesehen hat.","Dejó de comer pescado luego de ver """"Buscando a Nemo"""".",Ha smesso di mangiare pesce dopo aver visto Alla ricerca di Nemo.,Ele parou de comer peixe depois de assistir Procurando Nemo.,Il a arrêté de manger du poisson après avoir vu le Monde de Némo.,"Barátunk azután szokott le a halról, hogy megnézte a Némó nyomábant…",Obejrzał „Gdzie jest Nemo?” i od tego czasu nie je ryb!,Он перестал есть рыбу после просмотра «В поисках Немо».,Meow ni jadi vegetarian selepas tonton Finding Nemo.,"Přestala jíst ryby potom, co se podívala na Hledá se Nemo.",เขาเลิกกินปลาตั้งแต่ดู หนังเรื่องนีโม...ปลาเล็ก หัวใจโต๊...โต,看完《海底總動員》後，他不再吃魚了。,니모를 찾아서 이후 생선은 안 먹어요.,彼はファインディング・ニモを見てから魚を食べるのをやめました。,توقف عن أكل السمك بعد مشاهدة فيلم Finding Nemo.,Ia berhenti makan ikan setelah menonton Finding Nemo.,Ea nu mai mănâncă pește de când a văzut filmul ”În Căutarea lui Nemo”.,Chú mèo đó sẽ ngừng ăn cá sau khi xem Đi Tìm Nemo.
END_244_1,I watched enough Spider-man to not trust such alien symbiotes!,"Yeterince Örümcek Adam izledim, böyle uzaylı simbiyotlarına güvenmem!","Ich habe genug Spiderman gesehen, um solchen Symbioten nicht zu trauen!",¡Las películas del Hombre Araña me enseñaron a no confiar en los simbiontes!,Non mi fido di questi simbionti... Ho visto Spiderman!,Já assisti Homem-Aranha o suficiente para saber que não devo confiar em simbiontes!,Je ne fais pas confiance à ces symbiotes. J’ai vu Spiderman !,"Elég Pókembert néztem ahhoz, hogy tudjam, nem szabad megbízni az ilyen lényekben!","Komiksy uczą, żeby nie ufać kosmicznym dziwactwom!","Я посмотрела немало приключений Человека-паука, поэтому я таким симбиотам не доверяю!",Banyak sangat filem Spider-man yang tunjukkan simbiot ni tak boleh dipercayai!,"Už tolikrát jsem viděl Spidermana, abych věděl, že jim nemám věřit!",ผมดูหนังสไปเดอร์แมน มามากพอที่จะไม่เชื่อใจ พวกซิมไบโอตเอเลี่ยน!,我看了足夠多的蜘蛛俠，不相信這樣的外星共生體！,스파이더맨 덕분에 외계 공생생물은 안 믿어!,スパイダーマンをよく見たので、そのような宇宙生命体は信用しません！,لقد شاهدت ما يكفي من الأفلام حتى لا أثق في مثل هذه الكائنات الفضائية!,"Gara-gara menonton film Spider-man, aku jadi waspada terhadap alien simbiot ini!",M-am uitat prea mult la Omul Păianjen ca să mai am încredere în paraziți extratereștri.,Tôi đã xem đủ Spider-man để không đặt niềm tin những sinh vật ngoại lai như thế này rồi!
END_245_1,Weeeeee!,Viiiiii!,Jipiiiiiii!,¡Iupiii!,Urrààààà!!!,Weeeeee!,Youpiiiiii !,Jipííí!,Juhuuu!,Уи-и-и!,Weeeeee!,Juchúúú!,เย้!,嗚嗚嗚！,으아아아!,ウィィィィィィ！,وييييييييييييييييييييييييييييييييييه!,Wiiiiii!,Iuhuuuuuu!,Weeeeee!
END_245_2,"Finally, I can get some peace and quiet...",Sonunda biraz huzur ve sessizlik bulabilirim...,Endlich hab ich ein wenig Ruhe!,Paz y tranquilidad al fin...,Finalmente posso starmene un po' in pace...,"Finalmente, um pouco de paz e silêncio...","Enfin, un peu de calme !","Végre, csend és nyugalom…",Wreszcie cisza i spokój...,Наконец-то наступила долгожданная тишина...,"Akhirnya, dapat jugak aku berehat...",Konečně mám klid…,ในที่สุด ฉันก็ได้ อยู่เงียบๆ สักที...,終於，我可以得到一些平靜和安寧了……,드디어 평화롭고 고요하군...,やっと平穏を取り戻せる...,وأخيراً أستطيع أن أحصل على بعض الهدوء والسكينة..,"Akhirnya, aku bisa beristirahat ...",În sfârșit! Pot să mă relaxez și eu.,Cuối cùng thì mình cũng có thể yên tĩnh được một chút...
END_246_1,Even this spider is better than the local dressmaker!,Bu örümcek bile bizim sokaktaki terziden daha iyi!,Diese Spinne ist besser als mein Schneider!,¡Hasta esta araña cose mejor que el sastre del barrio!,Perfino il ragno è meglio del sarto locale!,Até essa aranha é melhor que o alfaiate daqui do bairro!,Cette araignée est une couturière de talent !,Ez a pók valami lenyűgöző!,Nawet pająk jest lepszy niż tutejsza krawcowa!,Даже этот паук намного лучше нашей местной швеи!,Wah! labah-labah ini lebih handal daripada tukang jahit!,Dokonce i pavouk je lepší než kdejaký krejčí!,แมงมุมตัวนี้เก่งกว่า ช่างตัดเสื้อซะอีก!,就連這只蜘蛛都比當地的裁縫還要好！,거미 마저 동네 양장점보다 낫군!,このクモですら、地元のドレスメーカーより優秀だわ！,حتى هذا العنكبوت أفضل من الخياط المحلي!,Kerja laba-laba ini bahkan lebih baik daripada tukang jahit di sini!,Chiar și acest păianjen e mai bun decât croitorul meu!,Đến cả con nhện này cũng có tay nghề tốt hơn so với thợ may địa phương!
END_247_1,You are the best lab assistant I have ever had in my life!,Hayatımda gördüğüm en iyi laboratuvar asistanısın!,"Du bist der beste Laborassistent, den ich je hatte!",¡Eres el mejor asistente de laboratorio que haya tenido!,Sei il miglior assistente di laboratorio che esista al mondo!,Você é o melhor assistente de laboratório que já tive na vida!,Vous êtes le meilleur assistant que j’ai jamais eu !,"Te vagy a legjobb laborasszisztens, akivel valaha együtt dolgoztam!","Jesteś najlepszym asystentem, jakiego można sobie wymarzyć!","Ты самый лучший лаборант из всех, кто был у меня!",Pakcik Bobba memang pembantu makmal yang terbaik setakat ni!,"Jste ten nejlepší asistent, jakého jsem kdy měl!",คุณเป็นผู้ช่วยห้องแลป ที่ดีสุดที่ผมเคยมีมาเลย!,你是我一生中遇到過的最好的實驗室助理！,당신은 최고의 연구 조교입니다!,君は今までの人生で出会った最高のアシスタントだよ！,أنت أفضل مساعد مختبر رأيته في حياتي!,Paman memang asisten lab terbaik di hidupku!,Ești cel mai calificat asistent pe care l-am avut!,Bác là trợ lý phòng thí nghiệm xuất sắc nhất mà cháu từng gặp trong đời đấy!
END_247_2,I got your back as long as you feed me.,Beni beslediğin sürece sana destek olurum.,"Du kannst dich auf mich verlassen, solange du mir Essen verschaffst.",Estaré aquí siempre y cuando me alimentes.,"Fintanto che mi sfami, io ti assisto.",Pode contar comigo desde que você me alimente!,"Tant que vous me nourrissez, je suis votre homme.","Amíg enni adsz nekem, számíthatsz rám.",Zawsze możesz na mnie liczyć... o ile masz jedzenie.,Я тебе помогаю — ты меня кормишь.,Aku akan tolong kau selagi kau beri aku makanan.,"Rád vám pomůžu, dokud mě budete krmit.",ถ้ามีของกินให้ตลอด  ฉันก็พร้อมช่วยแหละ,只要你餵我，我就支持你。,음식을 주는 한 당신 뒤를 지킬 것입니다.,ボクに食べ物を与えてくれる限り、あなたをサポートします。,أنا موجود دائما للمساعدة طالما أنك تطعمني.,Aku pasti membantumu selama kamu memberiku makan.,Performez doar atunci când mă hrănești.,Chỉ cần cho bác đồ ăn thì cái gì bác cũng làm được hết.
END_248_1,Cupception!,Fincanın içinde fincan!,Tassen-ception!,¿Quién se va a tomar todo este café?,Tazz-ception!,Lembra de “A Origem”?!,Tasse-ception !,Csészekavalkád!,To mi przypomina taki jeden film o snach w snach…,Чашки-матрешки!,Cawan pun pandai menyorok!,Záhada ztraceného šálku!,ถ้วยอินเซ็ปชั่น!,杯感！,컵셉션!,カップにはまらない発想を！,Cupception!,Istilah bahasa Inggrisnya 'cupception'!,Să nu ți se facă rău de la atâtea cafele!,Ảo thật đấy!
END_249_1,"So there are one 1, two 2s, three 3s, four 4s, and five 5s.","Yani bir tane 1, iki tane 2, üç tane 3, dört tane 4 ve beş tane 5 var.","Also gibt es eine Eins, zwei Zweier, drei Dreier, vier Vierer und fünf Fünfer.","¡Tiene sentido! Había un uno, dos doses, tres treses, cuatro cuatros y cinco cincos.","Quindi c'è un 1, due 2, tre 3, quattro 4 e cinque 5.","Então haverá um 1, dois 2, três 3, quatro 4 e cinco 5.","Il y a un 1, deux 2, trois 3, quatre 4, et cinq 5.","Tehát van egy darab 1-es, két 2-es, három 3-as, négy 4-es és öt 5-ös.","Czyli jest jedna 1, dwie 2, trzy 3, cztery 4 i pięć 5.","Итак, здесь одна «1», две «2», три «3», четыре «4», пять «5».","Jadi terdapat satu 1, dua 2, tiga 3, empat 4, dan lima 5.","Takže tady je 1 jednička, 2 dvojky, 3 trojky, 4 čtyřky a 5 pětek.",มี 1 หนึ่ง มี 2 สอง  มี 3 สาม มี 4 สี่  และก็มี 5 ห้า,因此有 1 個 1、2 個 2、3 個 3、4 個 4 和 5 個 5。,"즉 1이 1개, 2가 2개, 3이 3개, 4가 4개, 5가 5개가 있습니다.",ということは、１が１個、２が２個、３が３個、４が４個、５が５個です。,إذن هناك واحدة واحدة واثنتان 2 وثلاثة 3 وأربعة 4 وخمسة 5,"Jadi, ada satu angka 1, dua angka 2, tiga angka 3, empat angka 4, dan lima angka 5.","Deci, sunt un 1, doi de 2, trei de 3, patru de 4 și cinci de 5.","Vậy là ta có một con số 1, hai con số 2, ba con số 3, bốn con số 4 và năm con số 5."
END_25_1,"Wow uncle, what's that tattoo?! You must've had a wild youth!",Dayı bize söylemediğin daha neler var acaba??,"Wow Onkel, was ist mit diesem Tattoo?! Du musst eine wilde Jugend gehabt haben!","¡Guau, tío! ¿De dónde salió ese tatuaje? ¿Acaso fuiste un joven rebelde?","Wow, zio, cos'è quel tatuaggio?! Devi aver avuto una gioventù pazzesca!","Uau, tio, o que é essa tattoo?! Você deve ter tido uma juventude muito louca!","Tonton, c’est quoi ce tatouage ? Tu as eu une sacrée jeunesse !",Azta! Az ott egy tetkó?! Fiatal korodban igazán féktelen lehettél!,"Wow, wujku, co to za tatuaż?! Musiałeś nieźle szaleć w młodości!","Ого, дядя, какая татуировка! У тебя наверняка была бурная молодость!","Wah pak cik, sejak bila ada tato ni?! Mesti pak cik hebat gila masa muda dulu!","Strýčku, co je to za tetování? Musel jsi mít divoké mládí!",โห รอยสักอะไรนั่น?! แต่ก่อนลุงคงเป็น วัยรุ่นตัวตึงแน่เลย!,哇叔叔，那是什麼刺青啊？！ 你少年的時候一定很瘋狂！,"와 삼촌, 이건 뭐죠?! 거칠게 놀았군요!",わぉ、おじさん、そのタトゥーは何？！若い頃ワイルドな青春を送ったのね！,يا عم، ما هذا الوشم؟! لابد أن فترة شبابك كانت مثيرة!,Paman buat tato apa?! Aku nggak menyangka Paman waktu muda liar juga!,Uau! Ce tatuaj e acela? Cred că ai avut o tinerețe sălbatică.,Wow bác có hình xăm luôn hả?! Hẳn là tuổi trẻ của bác ngông cuồng lắm nhỉ!
END_25_2,Hey! I'm still young and I'm still wild!,Huhaha! Ben sürprizlerle dolu bir dayıyım yeğenim...,"Hey! Ich bin immer noch jung, und immer noch wild!",¡Oye! Aún soy joven.,"Ehi, sono ancora giovane, e sono ancora pazzo!",Ei! Ainda sou jovem e louco!,Hé ! Je suis toujours jeune !,Hékás! Még mindig fiatal és féktelen vagyok!,Hej! Wciąż jestem młody i dziki!,Эй! Я до сих пор молодой и страстный!,"Hei! Aku ni muda lagi, masih hebat lagi!",Hej! Jsem pořád mladý a pořád divoký!,นี่! ลุงยังเป็นวัยรุ่นนะ วัยรุ่นหลังตึง!,嘿！我現在也還很年輕瘋狂！,얘야! 나는 아직 젊은 청춘이란다!,おい！まだ若いし、まだワイルドだぞ！,ما زلت شابا ومثيرا!,Hei! Jiwaku sekarang masih muda dan liar!,Hei! Încă sunt tânăr și încă sunt aprig!,Này! Bác mày vẫn còn trẻ và vẫn còn ngông cuồng lắm nhé!
END_26_1,"Well, thanks for the gas.","Sağolasın, gazına bereket!","Nun, danke für das Gas.",Tus gases fueron de gran ayuda.,"Beh, grazie del gas.","Bem, obrigado pelo gás.",Merci pour le gaz !,"Végül is gázra volt szükségem, szóval köszi!","Cóż, dzięki za gaz.","Ого, спасибо за газ.",Terima kasih sebab beri gas.,"Ehm, děkuji za ten plyn.",ขอบคุณสำหรับแก๊ส นะครับ,呃，感謝你放的瓦斯。,"음, 가스 주셔서 감사합니다.",さて、ガスをありがとう。,حسنا، شكرا على الغاز!,Terima kasih atas pasokan gasnya!,Păi... Mulțumesc pentru gaz.,"À thì, cảm ơn khí ga nhé."
END_26_2,It wasn't me!,Ben yapmadım! Miki yaptı!,Ich wars nicht!,"¡Oye, yo no fui!",Non sono stato io!,Não fui eu!,C’est pas moi !,Nem én voltam!,To nie ja!,Это не я!,Bukan aku!,To jsem nebyl já!,นั่นไม่ใช่ฉัน!,不是我放的！,제가 아니에요!,ボクではありません！,لم يكن أنا!,Bukan aku yang kentut!,Nu eu am fost!,Không phải bác xì hơi đâu!
END_27_1,Yes! I'm rich now!,Bu hakiki altın! Zenginiz!,Ja! Ich bin jetzt reich!,¡Viva! ¡Soy rica!,Sì! Ora sono ricca!,Isso! Estou rica agora!,Oui ! Je suis riche !,Igen! Gazdag vagyok!,Tak! Jestem bogata!,Да! Я теперь богачка!,Berjaya! Pakcik kayoooo!,Ano! Jsem bohatá!,เย้! ฉันรวยแล้ว!,哇！發財了！,좋아! 이제 부자다!,やった！私はお金持ち！,نعم! أنا ثرية الآن!,Hore! Aku kaya!,Da! Sunt bogată!,Dà hú! Mình giàu rồi!
END_27_2,"Zorry, Wily. Kould we vuse it wor my tental dreatment?",Övce bevim kıvılan difimi hayletsek vu pavayla olvaz mı?,"Entfuldige Lilli, könnten fir ef für einen Fahnarft ferfenden?","Lo ziento, Didi. ¿Podwiamos uzadla pada pagadme dientez nuevoz?","Shcusha, Lilli, ti shpiashe usharle per il dentishta?","Voi mal, Lily. Bodebos usar bra bagar beu denstista?","Euh, on beut udiliser l’argent pour aller jez le dendisse ?","Bosi, Senge. Dudnánk ebből hizedni a hogorvosom?","Lisska, moses mnie sa to umówic so sentysty?","Пфости, Лиля. А мы мовем потлатить тфои деньхи для лесения моево фуба?","Maaf, Kily. Boleh tak kuna ciling tu untuk kawatan kiki kaku?","Pvomiňte, Vucie, mohv bych tím zapvatit zubažovi?",โอ๋ดอ๋ะ อ๋ายอ๋น  อ่วยอาอ๋ม ไออ๋าอ๋ออันอ่อนไอ้ไอ่?,抱餡，可以幫偶粗假牙的錢嗎？,"뮈안화지만, 이궐 취과 치료웨 사용해됴 될꽈??",ごべんよイリ―。ぞれをわだしの歯の治療にづかってもイイガナ？,أثف، ويوى. هل ومكننا اثتخدامه وعلاج أثناني؟,"M-ma-aph, Lic-ca. Biza dipakai ountuk biaja tokter gigi sadja tidajk?","Zcuze, Lia. Pudem ză o folozim ca ză-mi repar zinții?",Chin nhỗi Lily. Nhưng chui cần chồng chu đó để chả chiền khám dăng!
END_28_1,This level is just an excuse to get back at those pesky mosquitos!,Bu bölümü bütün yaz sivrisineklerle mücadele eden insanlara ithaf ediyoruz...,"Dieses Level ist bloß da, um unseren Frust über diese lästigen Moskitos auszudrücken!",Este nivel fue solo una excusa para desquitarse contra esos insectos molestos.,Questo livello non è che un modo per vendicarsi di quelle fastidiose zanzare!,Essa fase é só uma desculpa pra se vingar desses mosquitos dos infernos!,"Bon d’accord, c’est votre sang.","Fogadjunk, ez volt az első alkalom, hogy viszketés nélkül megúsztál egy szúnyogcsípést.","Tak, w końcu zemsta na tych paskudnych komarach!",Этот уровень — просто повод отомстить надоедливым насекомым!,Tahap ini cuma latihan untuk bunuh nyamuk yang selalu buat kacau itu!,"Tuto úroveň věnujeme lidem, kterým komáři zničili celé léto.",เลเวลนี้ทำมาเพื่อ จัดการกับพวกยุง น่ารำคาญโดยเฉพาะ!,這關卡是想跟全天下的蚊子宣戰！,이 레벨은 성가신 모기 복수를 위한 핑계일 뿐입니다!,このレベルは、厄介な蚊へのフクシュウの単なる言い訳にすぎません！,هذا المستوى هو مجرد ذريعة للانتقام من البعوض المزعج!,"Level ini hanya ajang balas dendam kepada nyamuk-nyamuk nakal itu, kan?!",Nivelul ăsta e făcut doar ca să scăpăm de țânțarii ăștia enervanți!,Màn chơi này chỉ là một cái cớ để quay lại với lũ muỗi phiền phức đó thôi!
